First Experiment values

   false_positives  false_negatives  true_positives  PRECISION    RECALL        F1  n_tonos
0               33               34              42   0.575342  0.552632  0.563758        5
1               66                2              74   0.528571  0.973684  0.685185       10
2               62                2              74   0.544118  0.973684  0.698113       15
3               57                4              72   0.558140  0.947368  0.702439       20
4               40                9              67   0.626168  0.881579  0.732240       25
5               44                4              72   0.620690  0.947368  0.750000       30
6               39                4              72   0.648649  0.947368  0.770053       35
7               31                6              70   0.693069  0.921053  0.790960       40



  Second Experiment values

   true_positives  false_positives  false_negatives  PRECISION    RECALL        F1   b   r
0              66               38               10   0.529851  0.934211  0.676190  20   2
1              11               10               65   0.586207  0.223684  0.323810  10   4
2               9               12               67   0.333333  0.065789  0.109890   8   5
3               8                6               68   0.555556  0.065789  0.117647   5   8
4               2                7               74   0.428571  0.039474  0.072289   4  10
5               1                2               75   0.500000  0.052632  0.095238   2  20
